
902.EXE	              0	              0	              0	             10	              0	             10	             10	             10	              0	              0	
904.EXE	              5	              0	             10	             10	             10	              0	             10	              0	              0	              0	
905.EXE	              0	              0	              0	              0	              5	              5	              5	              5	              0	              0	
906.EXE	              0	              0	              5	              5	             10	             10	              0	              0	              0	              0	
907.EXE	              0	              0	              0	              0	              5	              0	              5	              5	              0	              0	
908.EXE	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	
912.EXE	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	
913.EXE	              0	              0	              0	             10	              0	              0	              0	              0	              0	              0	
918.EXE	             10	              0	              0	             10	             10	             10	             10	              0	              0	              0	
919.EXE	             10	              0	             10	             10	             10	             10	             10	             10	              0	              0	
925.EXE	              0	              0	              0	             10	              0	              0	              0	              0	              0	              0	
927.EXE	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	
928.EXE	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	
930.EXE	              0	              0	              5	             10	              5	              5	              5	              0	              0	              0	
931.EXE	              0	              0	              0	              0	              5	              5	              5	              5	              0	              0	
932.EXE	             10	              0	             10	             10	             10	             10	             10	              0	              0	              0	
933.EXE	             10	             10	             10	             10	             10	             10	             10	              5	              0	              0	
939.EXE	             10	              0	             10	             10	             10	             10	             10	             10	              0	              0	
942.EXE	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	
944.EXE	             10	             10	              5	             10	              5	              5	              5	              5	              5	              5	
945.EXE	             10	             10	              5	              5	              0	              5	              5	              0	              0	              0	
946.EXE	              0	              0	              0	             10	              0	              0	              0	              0	              0	              0	
947.EXE	              0	              0	             10	             10	             10	             10	             10	             10	              0	              0	
948.EXE	              0	              0	              0	             10	             10	              0	              0	              0	              0	              0	
949.EXE	              0	              0	              0	              5	              5	              0	              5	              0	              0	              0	
950.EXE	             10	              0	              0	             10	              5	              0	              0	              0	              0	              0	
952.EXE	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	
954.EXE	             10	              0	              0	              5	              0	              0	              0	              0	              0	              0	
955.EXE	             10	              0	             10	             10	             10	             10	             10	             10	              0	              0	
957.EXE	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	
958.EXE	              0	              0	              5	              5	             10	             10	             10	             10	              0	              0	
959.EXE	              0	              0	              0	              0	             10	             10	             10	             10	              0	              0	
965.EXE	              0	              0	              0	             10	              0	              0	              0	              0	              0	              0	
966.EXE	              0	              0	              0	              0	              0	              0	              5	              0	              0	              0	
968.EXE	             10	              0	             10	             10	             10	             10	             10	             10	              0	              0	
970.EXE	              0	              0	              0	              0	              5	             10	              5	             10	              0	              0	
971.EXE	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	
972.EXE	              0	              0	             10	             10	             10	             10	             10	             10	              0	              0	
973.EXE	              0	              0	             10	             10	              5	              5	              5	              0	              0	              0	
977.EXE	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	
978.EXE	              0	              0	             10	             10	             10	             10	             10	             10	              0	              0	
979.EXE	             10	             10	              0	             10	              0	              0	              0	              5	              0	              0	
980.EXE	              0	              0	              0	              0	              0	              0	              0	              0	              0	              0	
920.exe	              0	              0	              0	              0	              5	              5	              5	              0	              0	              0	
940.exe	              0	              0	              0	             10	             10	             10	             10	0	              0	              0	Verifica!!!
911.exe	              0	              0	              0	              5	              0	              0	              0	              0	              0	              0	
