901.exe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
902.EXE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	6	0	0	0	6	6	
903.EXE	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	6	6	
904.EXE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	6	6	0	0	0	6	
905.EXE	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	
907.EXE	
908.EXE	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	0	6	6	0	0	0	
909.EXE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	0	6	0	0	6	0	
910.EXE	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	
911.EXE	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	0	6	6	0	0	0	
912.EXE	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	0	0	0	0	0	6	0	0	6	
913.EXE	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	0	6	6	0	0	0	
914.EXE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	0	0	0	6	0	0	0	0	0	
915.EXE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	6	6	6	6	0	6	
916.EXE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	0	0	0	0	0	0	6	6	6	
917.EXE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	0	0	0	6	0	0	0	6	6	
918.EXE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	0	0	0	6	0	0	0	6	6	
919.EXE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	0	0	0	6	0	6	0	6	6	
920.EXE	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	0	0	0	6	0	0	0	6	0	
921.EXE	2	2	0	0	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	0	6	6	6	6	0	6	0	6	6	6	
922.EXE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	0	0	0	6	0	0	0	6	6	
925.EXE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	0	6	6	0	0	6	
927.EXE	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	0	0	0	0	6	0	0	0	6	6	
